,Abandono do veículo,Aceleração brusca,Acidente,Agressão física,Agressão verbal,Apropriação indevida,Avaria,Banguela,Bebidas,Checklist Irregular,Cinto de segurança,Comportamento,Conduta Motorista,Consumo médio,Cuidado com equipamento/carga,Cumprimento de normas,Desistência de contratos,Desvio de rota,Dia agenciado,Distração ao volante,Distância Perigosa,Extravio de bens,Extravio de carga,Fadiga na direção,Frenagem brusca,Fumar ao volante,Imprudência,Não comparecimento em contrato,Não retorna contato com a PX,Não retorna contato com cliente,Outros,Parada não autorizada,Pontualidade,Prisão,Problema de saúde,Relacionadas ao Motorista,Relacionadas ao Transportador,Reprovado na Brasil Risk,Reprovado na GR,Risco de tombamento,Sinistro,Substâncias ilícitas,Uso do celular,Veículo,Dias decorridos,Pontuação
Cinto de segurança,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comportamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conduta Motorista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumo médio,-0.0004549139642770048,-0.00016074586079408839,,-0.0002273472497293789,-0.0005086911427151948,-0.0003215692673311866,-0.0002784647636581211,,-0.0009412590029467394,-0.001228531135897483,,,,1.0,-0.0007049048094490573,-0.0013524174194366188,-0.002783718965570589,-0.00048254795253981357,0.0032077237048281242,-0.00042549881296242965,-0.0005069311865667185,-0.00022734724972937791,-0.00016074586079408286,-0.0003939036649887703,-0.000805284158180117,-0.0004549139642770027,-0.0006829206693326721,-0.003067452219820669,-0.0020356692318847483,-0.001369274348118592,,-0.00048254795253981287,-0.00035955428415029747,-0.00027846476365811913,,,,,-0.0005573329533215635,-0.000160745860794083,-0.00202199484974271,-0.0005400030102542092,-0.001408025973583839,,-0.005848808604860796,0.0006643663392568361
Cuidado com equipamento/carga,0.07188744996022287,-0.0007049048094490598,,-0.0009969660740101174,0.06386229594523612,-0.0014101496734844968,0.11937972605310544,,-0.004127621046269526,-0.005387370486393914,,,,-0.0007049048094490573,1.0,0.16978569947287395,0.011897150970682028,0.27653411625816354,-0.059185742868470545,-0.0018659028493200158,-0.0022230011379785674,-0.0009969660740101105,-0.0007049048094490431,-0.0017273514013893237,-0.0035313424138581893,0.07188744996022285,-0.00299475247391556,-0.005621437119827711,0.037474841379078055,-0.00600455942489521,,0.2068715683267369,-0.0015767220561917121,-0.0012211272513956166,,,,,-0.0024440236116815245,0.20814832016159862,0.13469209513593794,-0.0023680281231799353,0.0341802321499316,,-0.06064201288521235,-0.023322474013296596
Cumprimento de normas,0.12374701012906203,-0.0013524174194366233,,-0.0019127607969258273,0.1098445435226314,-0.0027054872613564303,0.06707194225727453,,0.08984495903893647,0.060335622667235356,,,,-0.0013524174194366188,0.16978569947287395,1.0,0.07414398056855866,0.2365160492461415,-0.06141774679349515,-0.003579886933058558,-0.004265009150355291,-0.0019127607969258178,-0.0013524174194366112,0.04578143622737242,0.00526914547843376,0.08122221740714539,0.0793724249107951,0.04179350116019498,0.07189854231708527,0.05328891015629704,,0.1964200637845994,0.05075203112595585,-0.002342832314375859,,,,,-0.0046890588085729415,-0.0013524174194366136,0.06561705376686584,0.15077616358189713,0.04235041492406869,,-0.07141846003728605,0.0642716949679466
Desistência de contratos,0.04942155685736813,-0.002783718965570584,,-0.00393708956308798,-0.008809266842696692,-0.005568780830762167,-0.004822317912317678,,0.006411999257041564,0.04680586917107499,,,,-0.002783718965570589,0.011897150970682028,0.07414398056855866,1.0,0.037597356429563016,0.05289830398540049,-0.007368582367346871,0.03696919414393553,-0.003937089563087984,-0.0027837189655705754,-0.006821432896749019,4.497104495330682e-05,-0.007877979711608215,-0.0008407236008048891,0.14406306641352618,0.07836101475533558,0.0690341559404082,,0.014620412346389793,-0.006226586955315033,-0.004822317912317689,,,,,0.0172448955774468,-0.002783718965570579,0.009519002548727309,0.0026762676504186555,0.014468127011667982,,-0.01759107687148929,0.06509428494590751
Desvio de rota,-0.0013656202465134818,-0.0004825479525398144,,-0.0006824807141566262,0.10404338926870793,-0.0009653286920349854,0.19179994284554366,,0.051436283312240726,-0.0036879654712735984,,,,-0.00048254795253981357,0.27653411625816354,0.2365160492461415,0.037597356429563016,1.0,-0.02160876299074436,-0.0012773179974205277,-0.0015217723488986387,-0.0006824807141566252,-0.0004825479525398037,-0.0011824715491850183,-0.0024174073274604805,-0.0013656202465134552,0.0766882002197435,-0.009208279335318603,-0.0061109381917622985,-0.004110466856725597,,0.4436396802403571,-0.0010793570844471042,-0.0008359319542904995,,,,,-0.0016730749655370527,-0.00048254795253980327,0.06272218264086937,-0.0016210516754599634,0.017259419267286608,,-0.03292383667912554,0.04097662659944418
Dia agenciado,-0.024730557216133413,-0.026230336142184858,,-0.00030451386208063595,-0.005794249764705901,-0.0009785338255899247,-0.035872810674088255,,-0.02705043313970302,-0.026373860739028563,,,,0.0032077237048281242,-0.059185742868470545,-0.06141774679349515,0.05289830398540049,-0.02160876299074436,1.0,-0.04473512928452659,-0.03419726108883186,0.0002764403232829749,-0.001721439804439143,-0.02681015649523934,-0.10894803729860808,-0.05243607273139046,-0.06958797053641497,0.09785792138749239,0.021903671218279533,0.006374564175406539,,-0.017818171481414274,-0.0007266057314917627,-0.0019542659125795767,,,,,-0.01289165094287072,-0.02034272417278231,-0.12498280311333525,-0.00900270602842435,-0.11043484768871682,,0.820029798296614,0.5562085458772388
Distração ao volante,0.13258772411021075,-0.00042549881296242883,,-0.000601794562001457,-0.0013465197568420524,-0.0008512028916868532,-0.000737104058562202,,-0.0024915390447103267,-0.00325195645741316,,,,-0.00042549881296242965,-0.0018659028493200158,-0.003579886933058558,-0.007368582367346871,-0.0012773179974205277,-0.04473512928452659,1.0,0.048354923334500075,-0.0006017945620014546,-0.00042549881296242173,0.30788675929881437,-0.002131609807620616,-0.0012041700535471572,0.08745874170169662,0.006059529105330375,0.050630044776467285,0.03715611959410193,,-0.0012773179974205349,-0.000951750299172478,-0.0007371040585621904,,,,,-0.0014752759971029727,-0.0004254988129624225,0.04664127288701172,-0.0014294031505647363,0.21550534090713577,,-0.03870960919639498,-0.015322318982345602
