freight_id,uf,city,de_type,vehicle,driver_id,company_id,price_por_dia,contract_days,foi_cancelada,atuacao_falcon
131656,RS,Caxias do Sul,Ajudante,,140795.0,2197,131.25,16,nao,sim
131672,SP,Piracicaba,Diária,Carreta,48472.0,1004,305.0,12,nao,nao
131712,PR,Araucária,Diária,Vanderleia,,991,305.0,5,sim,nao
131714,PR,Araucária,Coleta/Entrega,Carreta,10996.0,991,305.0,34,nao,nao
131717,PR,Araucária,Coleta/Entrega,Carreta,18527.0,991,305.0,34,nao,nao
131724,SP,Salto,Coleta/Entrega,Manobrista,283200.0,1886,280.0,30,nao,nao
131726,SC,Lages,Coleta/Entrega,Carreta,,3284,305.0,16,sim,nao
131748,SC,Balneário Camboriú,Ajudante,,231109.0,3751,190.0,1,nao,nao
131750,SC,Joinville,Ajudante,,,3751,160.0,2,sim,nao
131767,SP_RM,Embu das Artes,Diária,Carreta,52479.0,948,372.0,36,nao,nao
131769,SP,Sorocaba,Coleta/Entrega,Rodotrem,33512.0,1360,375.0,5,nao,nao
131774,SC,Joinville,Coleta/Entrega,Manobrista,42783.0,3486,265.0,25,nao,nao
131775,SC,Joinville,Coleta/Entrega,Manobrista,293658.0,3486,265.0,25,nao,nao
131777,SP,Nova Odessa,Diária,Vanderleia,21267.0,3056,305.0,10,nao,nao
131789,SC,Joinville,Coleta/Entrega,Manobrista,256340.0,3486,192.72727272727272,22,nao,nao
131790,SC,Joinville,Coleta/Entrega,Manobrista,154295.0,3486,192.72727272727272,22,nao,nao
131795,SC,Joinville,Coleta/Entrega,Manobrista,19232.0,3486,265.0,25,nao,nao
131796,SC,Joinville,Coleta/Entrega,Manobrista,65524.0,3486,265.0,20,nao,nao
131801,SC,Joinville,Coleta/Entrega,Manobrista,239534.0,3486,265.0,17,nao,nao
131803,SP_RM,Embu das Artes,Diária,Carreta,17932.0,948,372.0,36,nao,sim
131816,SP,Jacareí,Diária,Vanderleia,166529.0,3757,305.0,3,nao,sim
131846,RS,Estrela,Diária,Vanderleia,26260.0,131,305.0,13,nao,sim
131860,SC,Itajaí,Diária,Carreta,171718.0,3730,300.06451612903226,31,nao,nao
131861,SC,Itajaí,Diária,Carreta,1969.0,3730,305.0,30,nao,nao
131862,SC,Itajaí,Diária,Carreta,26265.0,3730,305.0,30,nao,nao
131865,SC,Itajaí,Diária,Carreta,164330.0,3730,305.0,30,nao,nao
131866,SC,Blumenau,Diária,Romeu e Julieta,,1234,330.0,2,sim,nao
131868,SC,Blumenau,Diária,Romeu e Julieta,,1234,330.0,2,sim,nao
131872,RS,Sapucaia do Sul,Diária,Carreta,215294.0,159,305.0,35,nao,nao
131879,SP_RM,Embu das Artes,Coleta/Entrega,3/4,53822.0,3611,220.0,3,nao,nao
131881,SP_RM,Embu das Artes,Coleta/Entrega,3/4,21787.0,3611,220.0,20,nao,nao
131883,SP,Itupeva,Diária,Carreta,51431.0,598,372.0,17,nao,nao
131885,SP,Itupeva,Diária,Carreta,86433.0,598,372.0,6,nao,nao
131888,SP_RM,Embu das Artes,Diária,Carreta,16607.0,948,305.0,30,nao,nao
131908,MG,Pouso Alegre,Diária,Carreta,,953,305.0,14,sim,nao
131915,SP_RM,São Paulo,Coleta/Entrega,3/4,,2357,231.0,10,sim,sim
131924,SC,Blumenau,Coleta/Entrega,3/4,233.0,48,220.0,2,nao,nao
131935,RJ,Rio de Janeiro,Coleta/Entrega,Toco,239170.0,3344,230.0,8,nao,nao
131938,RJ,Rio de Janeiro,Coleta/Entrega,Toco,49473.0,3344,230.0,13,nao,nao
131940,SP_RM,São Paulo,Coleta/Entrega,3/4,,2734,300.0,4,sim,nao
131942,SP_RM,São Paulo,Coleta/Entrega,3/4,202077.0,2734,300.0,20,nao,nao
131959,RJ,Rio de Janeiro,Coleta/Entrega,Toco,141308.0,3344,230.0,6,nao,nao
131962,SP,Salto,Coleta/Entrega,Manobrista,30951.0,1886,280.0,30,nao,nao
131964,SP,Salto,Coleta/Entrega,Manobrista,162454.0,1886,280.0,28,nao,nao
131965,SP_RM,Embu das Artes,Coleta/Entrega,3/4,175021.0,3082,235.0,5,nao,nao
131971,SP_RM,São Paulo,Diária,Toco,,3830,230.0,1,nao,nao
131976,SP,Salto,Coleta/Entrega,Manobrista,137520.0,1886,280.0,30,nao,nao
131981,SP,Indaiatuba,Diária,Carreta,33060.0,3614,385.0,7,nao,nao
131982,SP,Indaiatuba,Diária,Carreta,83151.0,3614,385.0,7,nao,nao
131992,RJ,Rio de Janeiro,Coleta/Entrega,Toco,309750.0,3344,230.0,1,nao,nao
131993,RJ,Rio de Janeiro,Coleta/Entrega,Toco,60803.0,3344,230.0,2,nao,sim
131994,RJ,Rio de Janeiro,Coleta/Entrega,Toco,253591.0,3344,230.0,1,nao,nao
131995,RJ,Rio de Janeiro,Coleta/Entrega,Toco,280071.0,3344,230.0,2,nao,nao
131997,RJ,Rio de Janeiro,Coleta/Entrega,Toco,,3344,230.0,1,sim,sim
131998,RJ,Rio de Janeiro,Coleta/Entrega,Toco,,3344,230.0,1,sim,nao
131999,RJ,Rio de Janeiro,Coleta/Entrega,Toco,,3344,230.0,1,sim,nao
132000,RJ,Rio de Janeiro,Coleta/Entrega,Toco,,3344,230.0,1,sim,nao
132014,SP,Piracicaba,Diária,Vanderleia,66775.0,1360,305.0,10,nao,nao
132015,SP,Piracicaba,Diária,Vanderleia,67663.0,1360,305.0,11,nao,nao
132024,SP,Itupeva,Diária,Vanderleia,30843.0,2121,152.0,1,nao,nao
132027,RS,Portão,Ajudante,,117760.0,898,150.0,2,nao,sim
132030,SP,São José dos Campos,Coleta/Entrega,3/4,58375.0,3643,264.0,2,nao,nao
132041,RS,Lajeado,Diária,Vanderleia,47087.0,618,325.0,29,nao,nao
132042,SP_RM,Barueri,Diária,3/4,85363.0,1292,220.0,2,nao,nao
132047,SP,Jacareí,Coleta/Entrega,Bi-Truck,167736.0,3102,280.0,6,nao,nao
132050,MG,Betim,Diária,Vanderleia,100209.0,1988,306.1666666666667,6,nao,sim
132055,SP,Campinas,Diária,Carreta,183690.0,994,305.0,1,nao,nao
132056,RS,Cachoeirinha,Diária,Utilitários,307165.0,788,240.0,2,nao,nao
132057,RS,Cachoeirinha,Diária,Utilitários,212610.0,788,240.0,2,nao,nao
132087,SP,Limeira,Diária,Bitrenzão,7015.0,297,395.0,25,nao,nao
132088,SP,Limeira,Diária,Bitrenzão,19824.0,297,398.94,50,nao,nao
132091,SP,São José dos Campos,Diária,Rodotrem,12224.0,1354,437.3333333333333,3,nao,nao
132094,SP,Cordeirópolis,Diária,Carreta,23563.0,1953,305.0,15,nao,nao
132095,SP,Cordeirópolis,Diária,Carreta,190884.0,1953,305.0,15,nao,nao
132098,MG,Contagem,Diária,Vanderleia,75395.0,1360,305.0,2,nao,nao
132099,SP_RM,Guarulhos,Diária,Vanderleia,34710.0,1360,305.0,16,nao,nao
132103,SP,Cordeirópolis,Diária,Carreta,151914.0,1953,299.11538461538464,26,nao,nao
132107,SP,Indaiatuba,Diária,Carreta,85772.0,3614,385.0,7,nao,nao
132108,SP,Indaiatuba,Diária,Carreta,66414.0,3614,385.0,7,nao,sim
132109,SP,Mococa,Coleta/Entrega,3/4,,1360,220.0,5,sim,nao
132120,PR,Curitiba,Diária,Carreta,270313.0,446,254.0,3,nao,nao
132121,PR,Curitiba,Diária,Carreta,41455.0,446,305.0,34,nao,nao
132124,SC,Joinville,Diária,Truck,,3242,260.0,7,sim,nao
132125,SC,Joinville,Diária,Truck,43210.0,3242,260.0,8,nao,nao
