mes,uf,de_type,freight_id,vehicle,price,price_por_dia,contract_days,encontrou_motorista,qt_atividades_falcon,qt_horas_falcon
2025-01-01,PR,Coleta/Entrega,136538,Toco,920,230.0,4,nao,2.0,1.0
2025-01-01,SP,Diária,136543,Rodotrem,5625,375.0,15,sim,1.0,1.0
2025-01-01,SC,Coleta/Entrega,136547,3/4,1100,220.0,5,nao,9.0,2.0
2025-01-01,SC,Diária,136560,Toco,230,230.0,1,nao,5.0,3.0
2025-01-01,MG,Ajudante,136562,,150,150.0,1,sim,1.0,1.0
2025-01-01,MG,Ajudante,136565,,150,150.0,1,nao,10.0,6159.0
2025-01-01,PR,Diária,136581,Carreta,3900,325.0,12,sim,4.0,1.0
2025-01-01,RJ,Coleta/Entrega,136587,3/4,225,225.0,1,nao,5.0,1.0
2025-01-01,RJ,Coleta/Entrega,136588,Toco,989,247.25,4,sim,11.0,2.0
2025-01-01,RJ,Coleta/Entrega,136590,3/4,660,220.0,3,sim,8.0,1.0
2025-01-01,RJ,Coleta/Entrega,136591,3/4,220,220.0,1,sim,3.0,1.0
2025-01-01,SP,Coleta/Entrega,136596,Carreta,1332,333.0,4,sim,15.0,3.0
2025-01-01,RJ,Diária,136599,Truck,1300,260.0,5,nao,9.0,4.0
2025-01-01,MT,Diária,136601,Carreta,3965,305.0,13,sim,3.0,1.0
2025-01-01,SP,Diária,136605,Carreta,4092,372.0,11,sim,8.0,12.0
2025-01-01,RS,Diária,136609,Carreta,610,305.0,2,nao,7.0,2.0
2025-01-01,ES,Diária,136612,Rodotrem,16195,395.0,41,sim,4.0,3.0
2025-01-01,SP,Diária,136615,Carreta,372,372.0,1,sim,3.0,11.0
2025-01-01,BA,Coleta/Entrega,136616,Vanderleia,1220,305.0,4,nao,25.0,1709.0
2025-01-01,PR,Diária,136617,Carreta,9150,305.0,30,sim,5.0,1.0
2025-01-01,SC,Coleta/Entrega,136627,Utilitários,320,160.0,2,sim,19.0,3089.0
2025-01-01,RJ,Diária,136643,Truck,2080,260.0,8,sim,1.0,1.0
2025-01-01,SP,Diária,136648,Carreta,1830,305.0,6,sim,2.0,2.0
2025-01-01,MG,Diária,136649,Truck,520,260.0,2,sim,5.0,2.0
2025-01-01,SP,Ajudante,136650,,540,180.0,3,sim,3.0,1.0
2025-01-01,SP,Diária,136661,Carreta,3050,305.0,10,sim,6.0,10.0
2025-01-01,RS,Ajudante,136662,,160,160.0,1,nao,1.0,1.0
