mes,uf,de_type,freight_id,price,contract_days,encontrou_motorista,qt_atividades_falcon,qt_horas_falcon,uf_ajustado,sucesso,resultado,esforco,eficiencia
2025-02-01,SC,Diária,142161,2440,8,1,3.0,4.0,SC,1,0.6402981485934119,0.20008940833202465,0.33984360709727207
2025-02-01,SC,Coleta/Entrega,142168,3380,13,1,10.0,1.0,SC,1,0.7714835296946381,0.29073969398616023,0.2813975214242235
2025-02-01,SP,Diária,142170,5250,14,1,1.0,1.0,SP,1,1.0,0.05597239673442607,1.0
2025-02-01,SP,Diária,142171,5625,15,1,1.0,1.0,SP,1,1.0,0.05597239673442607,1.0
2025-02-01,SP,Diária,142173,5625,15,1,1.0,1.0,SP,1,1.0,0.05597239673442607,1.0
2025-02-01,SP,Diária,142177,5625,15,1,1.0,1.0,SP,1,1.0,0.05597239673442607,1.0
2025-02-01,SP_RM,Ajudante,142184,480,3,1,1.0,1.0,SP_RM,1,1.0,0.1207944320803351,0.88292609941228
2025-02-01,PR,Diária,142191,3375,9,1,2.0,2.0,PR,1,0.7460928107718201,0.11270952882806994,0.7055240566689079
2025-02-01,PR,Ajudante,142199,160,1,1,7.0,2.0,PR,1,0.6554116717617559,0.2588708956632424,0.26838198408542513
2025-02-01,SP,Diária,142216,5795,19,1,4.0,1.0,SP,1,0.8095696080788651,0.11586191469061445,0.7448515492783653
2025-02-01,PE,Ajudante,142219,1650,11,1,4.0,1.0,PE,1,0.8095696080788651,0.25364311702618025,0.3389566967696767
2025-02-01,SP,Diária,142228,5208,14,1,4.0,1.0,SP,1,0.8095696080788651,0.11586191469061445,0.7448515492783653
2025-02-01,SC,Diária,142241,9135,29,1,6.0,5.0,SC,1,0.5852849242606396,0.29019575692888044,0.21331448629157793
2025-02-01,SP,Coleta/Entrega,142243,5720,22,1,12.0,2.0,SP,1,0.6402981485934119,0.35145835660848695,0.19245828810159007
2025-02-01,SP_RM,Diária,142251,625,2,1,8.0,6.0,SP_RM,1,0.5662418850685261,0.449643162016649,0.13230355439624064
2025-02-01,PE,Diária,142287,1625,5,0,6.0,3.0,PE,0,0.11132483770137047,0.20135566762210766,0.056758370748025554
2025-02-01,GO,Coleta/Entrega,142288,230,1,1,11.0,5.0,GO,1,0.5660495311372926,0.5344693502998598,0.1108916336002782
2025-02-01,SP,Diária,142290,4575,15,1,2.0,1.0,SP,1,0.8730464053859102,0.07593556938648888,1.0
2025-02-01,RJ,Coleta/Entrega,142300,350,1,1,12.0,3.0,RJ,1,0.5979802837220485,0.4343822886090455,0.14484829652587813
2025-02-01,SP_RM,Ajudante,142306,172,1,1,7.0,1.0,SP_RM,1,0.7823652663758459,0.34664588946783575,0.23898990613649884
2025-02-01,SP_RM,Ajudante,142311,130,1,1,15.0,4.0,SP_RM,1,0.5725895647992306,0.9489164425011709,0.06216276363689464
2025-02-01,SP_RM,Coleta/Entrega,142325,690,3,1,10.0,2.0,SP_RM,1,0.6445299350805482,0.38342923180554306,0.17739386386383835
2025-02-01,SP,Ajudante,142338,240,2,0,7.0,5.0,SP,0,0.07142513653694223,0.5924088139679966,0.010527961979513658
2025-02-01,SP_RM,Coleta/Entrega,142340,230,1,1,9.0,2.0,SP_RM,1,0.6473511260719724,0.3572995491014987,0.19138420657309285
2025-02-01,SC,Coleta/Entrega,142363,241,1,0,12.0,2.0,SC,0,0.13248377013705218,0.4042007033983577,0.032685570063987514
2025-02-01,PR,Coleta/Entrega,142370,260,1,1,1.0,1.0,PR,1,1.0,0.05095963013166679,1.0
2025-02-01,SP_RM,Coleta/Entrega,142371,230,1,0,12.0,1.0,SP_RM,0,0.2594373647511421,0.36600944333618013,0.073435433349889
2025-02-01,SP,Coleta/Entrega,142372,780,3,1,1.0,1.0,SP,1,1.0,0.06076499807906511,1.0
2025-02-01,RS,Ajudante,142377,170,1,1,9.0,2.0,RS,1,0.6473511260719724,0.4916832306175439,0.1384298448050275
2025-02-01,GO,Diária,142383,4125,11,1,1.0,1.0,GO,1,1.0,0.03668873273921389,1.0
2025-02-01,SP_RM,Ajudante,142384,170,1,0,13.0,5.0,SP_RM,0,0.05468400318123805,0.97401104887756,0.0036385488027194973
2025-02-01,MG,Diária,142391,260,1,1,1.0,1.0,MG,1,1.0,0.04504214750533539,1.0
2025-02-01,SP,Diária,142400,4880,16,0,3.0,1.0,SP,0,0.322914162058187,0.09589874203855166,0.35772161913547806
2025-02-01,RJ,Diária,142408,990,3,1,3.0,1.0,RJ,1,0.8307285405145467,0.08170538912819922,1.0
2025-02-01,RJ,Diária,142412,1040,4,1,3.0,1.0,RJ,1,0.8307285405145467,0.08170538912819922,1.0
2025-02-01,RJ,Diária,142423,15250,50,1,1.0,1.0,RJ,1,1.0,0.046788462498315676,1.0
2025-02-01,SP,Diária,142426,2440,8,1,8.0,7.0,SP,1,0.5601964758011885,0.5151253677318705,0.11392958238130237
2025-02-01,SP,Diária,142431,14625,39,1,1.0,1.0,SP,1,1.0,0.05597239673442607,1.0
2025-02-01,SP_RM,Coleta/Entrega,142434,260,1,1,12.0,2.0,SP_RM,1,0.6402981485934119,0.4356885972136318,0.1547936863461989
2025-02-01,SP_RM,Ajudante,142435,120,1,0,8.0,3.0,SP_RM,0,0.10074537148352967,0.585044650043531,0.0160495975048429
2025-02-01,SP_RM,Ajudante,142441,600,4,1,12.0,5.0,SP_RM,1,0.5641259918249579,0.9363691393129765,0.062060852209287164
2025-02-01,SP,Coleta/Entrega,142466,260,1,0,12.0,2.0,SP,0,0.13248377013705218,0.35145835660848695,0.0379455531757797
2025-02-01,SE,Diária,142467,690,3,1,8.0,3.0,"(AL, DF, PA, RN, SE)",1,0.6085597499398894,0.4631445376661139,0.1381487805501006
2025-02-01,SP_RM,Ajudante,142490,450,3,1,6.0,1.0,SP_RM,1,0.7884106756431836,0.3090039799032523,0.2704832104450208
