uf,mes,de_type,freight_id,price,price_por_dia,contract_days,encontrou_motorista,qt_atividades_falcon,qt_horas_falcon,uf_ajustado,sucesso
SP,2025-02-01,Coleta/Entrega,139736,305,305.0,1,sim,12.0,1.0,SP,1
SP,2025-02-01,Coleta/Entrega,139739,1555,311.0,5,sim,4.0,1.0,SP,1
PR,2025-02-01,Coleta/Entrega,139740,1500,375.0,4,sim,12.0,2.0,PR,1
SP_RM,2025-02-01,Coleta/Entrega,139742,690,230.0,3,sim,12.0,2.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,139745,230,230.0,1,sim,4.0,1.0,SP_RM,1
CE,2025-02-01,Coleta/Entrega,139750,880,220.0,4,sim,11.0,2.0,CE,1
RJ,2025-02-01,Coleta/Entrega,139752,445,222.5,2,sim,12.0,1.0,RJ,1
SP,2025-02-01,Diária,139757,305,305.0,1,sim,7.0,11.0,SP,1
MG,2025-02-01,Coleta/Entrega,139770,840,280.0,3,nao,1.0,1.0,MG,0
SP_RM,2025-02-01,Coleta/Entrega,139774,3300,253.84615384615384,13,sim,2.0,3.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,139779,225,225.0,1,sim,12.0,2.0,SP_RM,1
PR,2025-02-01,Coleta/Entrega,139781,220,220.0,1,nao,5.0,1.0,PR,0
SP_RM,2025-02-01,Ajudante,139782,420,140.0,3,nao,7.0,3.0,SP_RM,0
SP_RM,2025-02-01,Ajudante,139783,260,130.0,2,sim,6.0,1.0,SP_RM,1
SP,2025-02-01,Coleta/Entrega,139805,160,160.0,1,nao,7.0,14.0,SP,0
RJ,2025-02-01,Diária,139844,546,273.0,2,sim,16.0,13.0,RJ,1
SP_RM,2025-02-01,Ajudante,139849,560,93.33333333333333,6,sim,6.0,2.0,SP_RM,1
MG,2025-02-01,Diária,139854,3900,260.0,15,sim,13.0,5.0,MG,1
SC,2025-02-01,Ajudante,139859,125,125.0,1,nao,3.0,1.0,SC,0
SC,2025-02-01,Diária,139863,8118,261.8709677419355,31,sim,13.0,6.0,SC,1
SP_RM,2025-02-01,Coleta/Entrega,139864,260,260.0,1,sim,7.0,8.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,139868,120,120.0,1,nao,8.0,3.0,SP_RM,0
CE,2025-02-01,Diária,139871,572,286.0,2,sim,10.0,3.0,CE,1
PR,2025-02-01,Diária,139886,610,305.0,2,nao,8.0,4.0,PR,0
SP,2025-02-01,Coleta/Entrega,139887,660,220.0,3,sim,2.0,1.0,SP,1
SP_RM,2025-02-01,Ajudante,139889,160,160.0,1,sim,9.0,2.0,SP_RM,1
SC,2025-02-01,Coleta/Entrega,139890,220,220.0,1,sim,3.0,4.0,SC,1
SC,2025-02-01,Diária,139899,1040,260.0,4,sim,5.0,2.0,SC,1
SP,2025-02-01,Diária,139902,5135,395.0,13,nao,2.0,1.0,SP,0
